,WSmax,WDmax,WS,STDwd,TD,RH,TDmax,TDmin,Grad,NIP,DiffR,WS1mm,Ws10mm,Time,Rain,North-East,North-West,South-West,East,North,South-East,West,South
2019-05-25,4.642361111111112,132.79166666666666,2.967361111111113,14.09513888888889,29.758333333333326,36.020833333333336,29.990972222222222,29.532638888888894,,,,3.915972222222223,3.1902777777777795,1181.8680555555557,0.0,0,1,0,0,0,0,0,0
2019-05-26,5.650000000000002,36.166666666666664,3.877777777777777,10.431249999999997,28.00833333333334,29.70138888888889,28.218750000000014,27.819444444444446,,,,4.822222222222223,4.125000000000001,1181.451388888889,0.0,1,0,0,0,0,0,0,0
2019-05-27,4.929861111111112,63.361111111111114,3.331250000000001,11.53611111111111,27.448611111111106,36.24305555555556,27.69305555555556,27.229861111111124,,,,4.199999999999999,3.554166666666667,1165.5902777777778,0.0,1,0,0,0,0,0,0,0
2019-05-28,4.334027777777781,125.41666666666667,2.796527777777778,11.688888888888885,27.92916666666666,34.875,28.176388888888894,27.686805555555555,,,,3.6770833333333335,3.0416666666666665,1181.7916666666667,0.0,0,1,0,0,0,0,0,0
2019-05-29,3.7819444444444437,130.04166666666666,2.3625000000000003,11.790972222222223,29.838888888888885,37.90277777777778,30.068055555555556,29.61527777777778,,,,3.1958333333333333,2.5701388888888888,1182.3472222222222,0.0,0,1,0,0,0,0,0,0
2019-05-30,4.229166666666665,148.95138888888889,2.64513888888889,15.099305555555553,31.84722222222222,26.79861111111111,32.12986111111111,31.597222222222214,,,,3.536111111111112,2.9229166666666675,1166.1527777777778,0.0,0,1,0,0,0,0,0,0
2019-05-31,4.291666666666666,164.47222222222223,2.586805555555555,18.988194444444442,32.104861111111106,24.291666666666668,32.391666666666666,31.84444444444444,,,,3.5944444444444437,2.8951388888888894,1182.201388888889,0.0,0,1,0,0,0,0,0,0
2019-06-01,4.499305555555555,150.93055555555554,2.7902777777777796,13.725000000000001,30.961111111111123,22.430555555555557,31.21597222222223,30.702777777777797,,,,3.7701388888888894,3.0590277777777795,1183.388888888889,0.0,0,1,0,0,0,0,0,0
2019-06-02,4.874468085106383,130.20567375886526,3.200000000000003,14.71489361702128,30.467375886524827,25.24822695035461,30.746808510638306,30.208510638297863,,,,4.0929078014184395,3.443262411347519,1176.950354609929,0.0,0,1,0,0,0,0,0,0
2019-06-03,2.817105263157895,114.19736842105263,1.675,17.825,27.594736842105267,30.69736842105263,27.87894736842104,27.307894736842105,,,,2.3078947368421048,1.7921052631578949,600.6578947368421,0.0,0,1,0,0,0,0,0,0
2019-06-06,6.9553846153846175,183.63076923076923,4.701538461538461,12.036923076923078,34.49090909090909,24.227272727272727,34.653030303030306,34.31666666666667,,,,5.766153846153847,5.023076923076923,1824.0,0.0,0,0,1,0,0,0,0,0
2019-06-07,6.261805555555557,146.48611111111111,4.031250000000001,12.928472222222219,30.379861111111104,36.173611111111114,30.613888888888894,30.184722222222224,,,,5.186111111111109,4.331944444444446,1165.923611111111,0.0,0,1,0,0,0,0,0,0
2019-06-08,4.606944444444443,108.41666666666667,2.8291666666666675,16.676388888888894,28.054861111111116,40.71527777777778,28.265277777777786,27.867361111111112,,,,3.870138888888891,3.106944444444446,1181.0555555555557,0.0,0,1,0,0,0,0,0,0
